% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.111	1	1	12	2	1	28	2196	0	0	0
0.211	1	1	22	2	1	28	2196	0	0	0
0.311	1	1	32	2	1	28	2196	0	0	0
0.411	1	1	42	2	1	28	2196	0	0	0
0.511	1	1	52	2	1	28	2196	0	0	0
0.611	1	1	62	2	1	28	2196	0	0	0
0.711	1	1	72	2	1	28	2196	0	0	0
0.811	1	1	82	2	1	28	2196	0	0	0
0.911	1	1	92	2	1	28	2196	0	0	0
1.011	1	1	102	2	1	28	2196	0	0	0
1.111	1	1	112	2	1	28	2196	0	0	0
1.211	1	1	122	2	1	28	2196	0	0	0
1.311	1	1	132	2	1	28	2196	0	0	0
1.411	1	1	142	2	1	28	2196	0	0	0
1.511	1	1	152	2	1	28	2196	0	0	0
1.611	1	1	162	2	1	28	2196	0	0	0
1.711	1	1	172	2	1	28	2196	0	0	0
1.811	1	1	182	2	1	28	2196	0	0	0
1.911	1	1	192	2	1	28	2196	0	0	0
2.011	1	1	202	2	1	28	2196	0	0	0
2.111	1	1	212	2	1	28	2196	0	0	0
2.211	1	1	222	2	1	28	2196	0	0	0
2.311	1	1	232	2	1	28	2196	0	0	0
2.411	1	1	242	2	1	28	2196	0	0	0
2.511	1	1	252	2	1	28	2196	0	0	0
2.611	1	1	262	2	1	28	2196	0	0	0
2.711	1	1	272	2	1	28	2196	0	0	0
2.811	1	1	282	2	1	28	2196	0	0	0
2.911	1	1	292	2	1	28	2196	0	0	0
3.011	1	1	302	2	1	28	2196	0	0	0
3.111	1	1	312	2	1	28	2196	0	0	0
3.211	1	1	322	2	1	28	2196	0	0	0
3.311	1	1	332	2	1	28	2196	0	0	0
3.411	1	1	342	2	1	28	2196	0	0	0
3.511	1	1	352	2	1	28	2196	0	0	0
3.611	1	1	362	2	1	28	2196	0	0	0
3.711	1	1	372	2	1	28	2196	0	0	0
3.811	1	1	382	2	1	28	2196	0	0	0
3.911	1	1	392	2	1	28	2196	0	0	0
4.011	1	1	402	2	1	28	2196	0	0	0
4.111	1	1	412	2	1	28	2196	0	0	0
4.211	1	1	422	2	1	28	2196	0	0	0
4.311	1	1	432	2	1	28	2196	0	0	0
4.411	1	1	442	2	1	28	2196	0	0	0
4.511	1	1	452	2	1	28	2196	0	0	0
4.611	1	1	462	2	1	28	2196	0	0	0
